,title,url,price,image_url,description
10812,V/A Habibi Funk 2x LP NEW VINYL Habibi Funk Ahmed Malek Dalton Fadoul,http://picclick.com/V-A-Habibi-Funk-2x-LP-NEW-VINYL-Habibi-202198177760.html,"{'amount': 37.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/202198177760_/V-A-Habibi-Funk-2x-LP-NEW-VINYL-Habibi.jpg,
10813,Arp Frique - Welcome To The Colorful World Of Arp Frique [New Vinyl LP],http://picclick.com/Arp-Frique-Welcome-To-The-Colorful-World-362329132877.html,"{'amount': 24.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/362329132877_/Arp-Frique-Welcome-To-The-Colorful-World.jpg,
10814,"Necessarily Black: Cape Verdean Youth, Hip-Hop Culture, and a Critique of Identi",http://picclick.com/Necessarily-Black-Cape-Verdean-Youth-Hip-Hop-Culture-and-361893482245.html,"{'amount': 21.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/361893482245_/Necessarily-Black-Cape-Verdean-Youth-Hip-Hop-Culture-and.jpg,
10815,"COVERSCAPE computer designed Cape Verdean ""Democracy Day"" event cover",http://picclick.com/COVERSCAPE-computer-designed-Cape-Verdean-Democracy-Day-event-231135749123.html,"{'amount': 4.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/231135749123_/COVERSCAPE-computer-designed-Cape-Verdean-Democracy-Day-event.jpg,
10816,BUDDY RICH Class of '78 LP Century Records CRDD-1030 US 1977 Audiophile,http://picclick.com/BUDDY-RICH-Class-of-78-LP-Century-Records-292594050902.html,"{'amount': 8.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/292594050902_/BUDDY-RICH-Class-of-78-LP-Century-Records.jpg,
10817,Buddy Rich ‎– Class Of '78 CREDO CRDD-1030,http://picclick.com/Buddy-Rich-%E2%80%8E%E2%80%93-Class-Of-78-CREDO-CRDD-1030-152784752523.html,"{'amount': 14.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/152784752523_/Buddy-Rich-%E2%80%8E%E2%80%93-Class-Of-78-CREDO-CRDD-1030.jpg,
10818,Cape Verdean Blues,http://picclick.com/Cape-Verdean-Blues-391998547481.html,"{'amount': 13.0, 'currency': '$'}",/img/imgNoImg.gif,
10819,"Cape Verdean Women And Globalization - Carter, Katherine/ Aulette, Judy - New Ha",http://picclick.com/Cape-Verdean-Women-And-Globalization-Carter-Katherine-391843533330.html,"{'amount': 90.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/391843533330_/Cape-Verdean-Women-And-Globalization-Carter-Katherine.jpg,
10820,"Don Verdean (Blu-ray Disc, 2016)",http://picclick.com/Don-Verdean-Blu-ray-Disc-2016-253690007247.html,"{'amount': 11.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/253690007247_/Don-Verdean-Blu-ray-Disc-2016.jpg,
10821,Horace Silver Quintet The Cape Verdean Blues CD Blue Note (Label),http://picclick.com/Horace-Silver-Quintet-The-Cape-Verdean-Blues-CD-132623060913.html,"{'amount': 5.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/132623060913_/Horace-Silver-Quintet-The-Cape-Verdean-Blues-CD.jpg,
10822,VINTAGE 1984 Cape Verdean Bicycle Ride T-Shirt,http://picclick.com/VINTAGE-1984-Cape-Verdean-Bicycle-Ride-T-Shirt-163091606654.html,"{'amount': 25.0, 'currency': '$'}",https://www.picclickimg.com/d/l400/pict/163091606654_/VINTAGE-1984-Cape-Verdean-Bicycle-Ride-T-Shirt.jpg,
